id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
1,1,1,2,2,8,-1.7925,1.3219,0.029447,0,0.69315,100,1,0.0,,752.98,751.03,2086.2
1,1,1,3,3,8,-1.6645,1.0,0.014772,0,1.7918,100,1,0.0,,704.78,751.05,2169.6
1,1,1,4,4,8,-1.5488,0.80735,0.00856,0,3.1781,100,1,0.0,,826.75,751.02,2146.3
1,1,1,5,5,8,-1.4466,0.67807,0.0054313,0,4.7875,100,1,0.0,,238.86,750.94,2676.3
1,1,1,6,6,8,-1.3568,0.58496,0.0036716,0,6.5793,100,1,,,,,
1,1,1,7,7,8,-1.2776,0.51457,0.002602,0,6.5793,100,1,1.0,1.0,-27.097,792.62,2319.7
1,1,1,8,8,8,-1.2075,0.45943,0.0019129,1,6.5793,100,1,0.0,,748.32,798.01,1549.7
2,1,2,9,1,15,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,1368.4,751.06,1423.1
2,1,2,10,2,15,-1.7925,1.3219,0.029447,0,0.69315,60,1,1.0,0.0,953.85,751.04,1699.8
2,1,2,11,3,15,-1.8424,2.585,0.063322,0,0.69315,60,0,1.0,0.0,486.1,751.16,2216.4
2,1,2,12,4,15,-1.75,1.2224,0.014874,0,1.7918,60,1,0.0,,684.68,750.94,1956.4
2,1,2,13,5,15,-1.6577,1.0,0.0089239,0,3.1781,60,1,1.0,0.0,610.19,751.04,2036.4
2,1,2,14,6,15,-1.761,3.1699,0.047997,0,3.1781,60,0,1.0,0.0,-654.39,1125.1,3279.5
2,1,2,15,7,15,-1.6858,1.0,0.0059698,0,3.1781,60,1,,,,,
2,1,2,16,8,15,-1.7925,3.4594,0.041136,0,1.7918,60,0,0.0,,549.55,819.29,1769.7
2,1,2,17,9,15,-1.7272,1.0,0.0042725,0,3.1781,60,1,0.0,,491.65,818.03,1826.4
2,1,2,18,10,15,-1.6645,0.89308,0.0031677,0,3.1781,60,1,3.0,0.0,586.85,750.97,2119.7
2,1,2,19,11,15,-1.7232,2.8074,0.017457,0,2.4849,60,0,3.0,0.0,578.96,750.98,2216.3
2,1,2,20,12,15,-1.7806,2.9069,0.016571,0,1.7918,60,0,3.0,0.0,1054.1,750.97,1656.5
2,1,2,21,13,15,-1.7322,1.0,0.0024975,0,1.7918,60,1,3.0,0.0,446.27,750.93,2276.3
2,1,2,22,14,15,-1.685,0.91754,0.001984,0,3.1781,60,1,3.0,0.0,404.94,1084.6,2179.7
2,1,2,23,15,15,-1.7488,3.1699,0.01436,0,1.7918,60,0,0.0,,896.9,1240.0,1843.1
3,1,3,24,1,14,-1.9219,2.0,0.078072,0,0.0,80,0,0.0,,548.61,750.92,2193.0
3,1,3,25,2,14,-1.7925,1.3219,0.029447,0,0.69315,80,1,0.0,,390.63,751.03,2489.6
3,1,3,26,3,14,-1.6645,1.0,0.014772,0,1.7918,80,1,,,,,
3,1,3,27,4,14,-1.75,2.8074,0.057355,0,1.7918,80,0,0.0,,1231.2,750.91,1706.4
3,1,3,28,5,14,-1.6577,1.0,0.0089239,0,3.1781,80,1,0.0,,46.695,750.92,2656.4
3,1,3,29,6,14,-1.571,0.848,0.0058176,0,4.7875,80,1,3.0,1.0,808.66,750.91,1939.7
3,1,3,30,7,14,-1.4911,0.73697,0.0040189,0,4.7875,80,1,3.0,1.0,-289.22,750.92,2939.6
3,1,3,31,8,14,-1.4183,0.65208,0.0028992,0,4.7875,80,1,2.0,0.0,366.0,549.15,1683.2
3,1,3,32,9,14,-1.5466,3.585,0.038369,0,3.1781,80,0,3.0,1.0,854.71,624.48,1269.8
3,1,3,33,10,14,-1.4838,0.70044,0.0023223,0,4.7875,80,1,3.0,1.0,-283.16,750.92,2999.6
3,1,3,34,11,14,-1.4256,0.63743,0.0017997,0,4.7875,80,1,3.0,1.0,-114.46,750.92,2799.6
3,1,3,35,12,14,-1.3716,0.58496,0.0014243,0,4.7875,80,1,0.0,,77.55,750.97,2769.6
3,1,3,36,13,14,-1.4961,4.0,0.030184,0,3.1781,80,0,3.0,1.0,406.12,1052.5,2146.4
3,1,3,37,14,14,-1.4466,0.62803,0.0012251,1,3.1781,80,1,1.0,0.0,1691.3,1794.4,1603.1
4,1,4,38,2,5,-1.9219,2.0,0.078072,0,0.0,100,1,3.0,0.0,1024.0,751.0,1679.7
4,1,4,39,3,5,-1.7925,1.3219,0.029447,0,0.69315,100,1,0.0,,472.74,750.94,2242.9
4,1,4,40,4,5,-1.6645,1.0,0.014772,0,1.7918,100,1,1.0,0.0,761.38,1041.1,1779.7
4,1,4,41,5,5,-1.5488,0.80735,0.00856,1,3.1781,100,1,1.0,0.0,430.13,1109.8,2179.7
5,1,5,42,1,4,-1.9219,2.0,0.078072,0,0.0,60,0,1.0,1.0,-359.54,820.1,2679.6
5,1,5,43,2,4,-1.9183,2.3219,0.070299,0,0.0,60,0,0.0,,305.75,750.96,2379.7
5,1,5,44,3,4,-1.8424,1.585,0.028306,0,0.69315,60,1,0.0,,877.66,1077.4,1699.7
5,1,5,45,4,4,-1.75,1.2224,0.014874,1,1.7918,60,1,0.0,,752.97,751.01,1949.7
6,1,6,46,1,5,-1.9219,2.0,0.078072,0,0.0,100,0,,,,,
6,1,6,47,2,5,-1.7925,1.3219,0.029447,0,0.69315,100,1,1.0,0.0,1141.7,1111.4,1469.8
6,1,6,48,3,5,-1.6645,1.0,0.014772,0,1.7918,100,1,,,,,
6,1,6,49,4,5,-1.5488,0.80735,0.00856,0,3.1781,100,1,,,,,
6,1,6,50,5,5,-1.4466,0.67807,0.0054313,1,4.7875,100,1,0.0,,644.47,787.57,1643.1
7,2,1,1,1,4,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,506.49,902.86,1896.4
7,2,1,2,2,4,-1.7925,1.3219,0.029447,0,0.69315,60,1,0.0,,841.87,1008.3,1666.4
7,2,1,3,3,4,-1.8424,2.585,0.063322,0,0.69315,60,0,0.0,,704.08,1110.4,1906.3
7,2,1,4,4,4,-1.75,1.2224,0.014874,1,1.7918,60,1,,,,,
8,2,2,5,1,6,-1.9219,2.0,0.078072,0,0.0,80,0,4.0,0.0,787.51,917.33,1629.8
8,2,2,6,2,6,-1.7925,1.3219,0.029447,0,0.69315,80,1,2.0,1.0,-163.6,929.28,2592.9
8,2,2,7,3,6,-1.6645,1.0,0.014772,0,1.7918,80,1,2.0,1.0,-44.869,904.79,2449.7
8,2,2,8,4,6,-1.75,2.8074,0.057355,0,1.7918,80,0,2.0,1.0,940.25,750.96,1719.7
8,2,2,9,5,6,-1.6577,1.0,0.0089239,0,3.1781,80,1,0.0,,112.44,1065.4,2453.0
