"subj" "seq" "trial" "sl" "ltime" "linger" "laway"
"1" 0 1 1 0.112343275445295 0.832497972664209 0.180832344171832 0
"2" 0 1 2 -0.591950581720452 1.35300719851312 0.182166749484137 0
"3" 0 1 3 -0.719285342157085 -0.431265148426202 -1.231494151067 0
"4" 0 1 4 0.62365360000265 0.485522149501743 0.18243969602529 0
"5" 0 1 5 -0.991827827181824 1.61907961833761 0.182207186008752 0
"6" 0 1 6 -0.348643737151631 1.29063383869864 0.182692424304136 0
"7" 0 1 7 -1.92033235850795 2.64748187018966 0.88486256511779 0
"8" 0 1 8 1.12342939283103 -0.363261000699782 1.01435042606716 1
"9" 0 1 9 NA NA NA 2
"10" 0 1 10 NA NA NA 2
"11" 0 1 11 NA NA NA 2
"12" 0 1 12 NA NA NA 2
"13" 0 1 13 NA NA NA 2
"14" 0 1 14 NA NA NA 2
"15" 0 1 15 NA NA NA 2
"16" 0 2 1 -0.499815855885309 0.63417697220384 0.786126681138364 0
"17" 0 2 2 1.1711445459956 -0.920628130905841 0.198038085395645 0
"18" 0 2 3 0.424068797263651 0.590869440040917 0.182682315172982 0
"19" 0 2 4 0.93423678870499 -0.115324368153599 1.2057162788091 0
"20" 0 2 5 -2.44368267192526 -2.40132316905605 0.156054863713802 0
"21" 0 2 6 NA NA NA 0
"22" 0 2 7 NA NA NA 0
"23" 0 2 8 NA NA NA 0
"24" 0 2 9 NA NA NA 0
"25" 0 2 10 NA NA NA 0
"26" 0 2 11 NA NA NA 0
"27" 0 2 12 NA NA NA 0
"28" 0 2 13 NA NA NA 0
"29" 0 2 14 NA NA NA 0
"30" 0 2 15 NA NA NA 0
"31" 0 3 1 NA NA NA 0
"32" 0 3 2 0.908852731587144 -0.220661549558281 1.00193641301026 0
"33" 0 3 3 0.56009742035315 0.107743793542726 1.14182656991691 0
"34" 0 3 4 -0.275878128575664 -0.00399105471644421 -0.0109216992064163 0
"35" 0 3 5 0.907568870474453 -0.220843513979134 1.00015720592718 0
"36" 0 3 6 0.700311228487168 -0.0782582156259213 0.996224753908346 0
"37" 0 3 7 NA NA NA 0
"38" 0 3 8 NA NA NA 0
"39" 0 3 9 NA NA NA 0
"40" 0 3 10 NA NA NA 0
"41" 0 3 11 NA NA NA 0
"42" 0 3 12 NA NA NA 0
"43" 0 3 13 NA NA NA 0
"44" 0 3 14 NA NA NA 1
"45" 0 3 15 NA NA NA 2
"46" 0 4 1 NA NA NA 2
"47" 0 4 2 -0.991059532342734 -3.03941173817923 -5.86309368050428 0
"48" 0 4 3 1.07773606819038 -0.809255796209547 0.22319971283752 0
"49" 0 4 4 0.304103601796715 -0.858820882622902 -0.754424033655607 0
"50" 0 4 5 NA NA NA 1
"51" 0 4 6 NA NA NA 2
"52" 0 4 7 NA NA NA 2
"53" 0 4 8 NA NA NA 2
"54" 0 4 9 NA NA NA 2
"55" 0 4 10 NA NA NA 2
"56" 0 4 11 NA NA NA 2
"57" 0 4 12 NA NA NA 2
"58" 0 4 13 NA NA NA 2
"59" 0 4 14 NA NA NA 2
"60" 0 4 15 NA NA NA 2
"61" 0 5 1 NA NA NA 2
"62" 0 5 2 NA NA NA 2
"63" 0 5 3 NA NA NA 2
"64" 0 5 4 NA NA NA 2
"65" 0 5 5 NA NA NA 2
"66" 0 5 6 NA NA NA 2
"67" 0 5 7 NA NA NA 2
"68" 0 5 8 NA NA NA 2
"69" 0 5 9 NA NA NA 2
"70" 0 5 10 NA NA NA 2
"71" 0 5 11 NA NA NA 2
"72" 0 5 12 NA NA NA 2
"73" 0 5 13 NA NA NA 2
"74" 0 5 14 NA NA NA 2
"75" 0 5 15 NA NA NA 2
"76" 0 6 1 0.107106739568336 -0.592394643091195 -0.541495404162553 0
"77" 0 6 2 0.156651647547055 0.751746206343614 0.181550092483753 0
"78" 0 6 3 1.26061045817916 -0.902108196516841 0.28118568913587 0
"79" 0 6 4 0.628273478179813 0.62168208197196 0.181974675992214 1
"80" 0 6 5 NA NA NA 2
"81" 0 6 6 NA NA NA 2
"82" 0 6 7 NA NA NA 2
"83" 0 6 8 NA NA NA 2
"84" 0 6 9 NA NA NA 2
"85" 0 6 10 NA NA NA 2
"86" 0 6 11 NA NA NA 2
"87" 0 6 12 NA NA NA 2
"88" 0 6 13 NA NA NA 2
"89" 0 6 14 NA NA NA 2
"90" 0 6 15 NA NA NA 2
"91" 0 7 1 NA NA NA 2
"92" 0 7 2 NA NA NA 2
"93" 0 7 3 NA NA NA 2
"94" 0 7 4 NA NA NA 2
"95" 0 7 5 NA NA NA 2
"96" 0 7 6 NA NA NA 2
"97" 0 7 7 NA NA NA 2
"98" 0 7 8 NA NA NA 2
"99" 0 7 9 NA NA NA 2
"100" 0 7 10 NA NA NA 2
"101" 0 7 11 NA NA NA 2
"102" 0 7 12 NA NA NA 2
"103" 0 7 13 NA NA NA 2
"104" 0 7 14 NA NA NA 2
"105" 0 7 15 NA NA NA 2
"106" 0 8 1 NA NA NA 2
"107" 0 8 2 NA NA NA 2
"108" 0 8 3 NA NA NA 2
"109" 0 8 4 NA NA NA 2
"110" 0 8 5 NA NA NA 2
"111" 0 8 6 NA NA NA 2
"112" 0 8 7 NA NA NA 2
"113" 0 8 8 NA NA NA 2
"114" 0 8 9 NA NA NA 2
"115" 0 8 10 NA NA NA 2
"116" 0 8 11 NA NA NA 2
"117" 0 8 12 NA NA NA 2
"118" 0 8 13 NA NA NA 2
"119" 0 8 14 NA NA NA 2
"120" 0 8 15 NA NA NA 2
"121" 0 9 1 1.18135478004141 -0.982647671013108 0.0561695715221859 0
"122" 0 9 2 0.159482207480546 -0.282660871396565 0.0318095981808095 0
"123" 0 9 3 -1.3586683945623 1.61311522898745 0.181903912074137 0
"124" 0 9 4 0.524482910904257 -0.753321955066351 -0.32468486830643 0
"125" 0 9 5 -0.479921063209912 -0.691454051976461 -1.38505185329363 1
"126" 0 9 6 NA NA NA 2
"127" 0 9 7 NA NA NA 2
"128" 0 9 8 NA NA NA 2
"129" 0 9 9 NA NA NA 2
"130" 0 9 10 NA NA NA 2
"131" 0 9 11 NA NA NA 2
"132" 0 9 12 NA NA NA 2
"133" 0 9 13 NA NA NA 2
"134" 0 9 14 NA NA NA 2
"135" 0 9 15 NA NA NA 2
"136" 0 10 1 NA NA NA 2
"137" 0 10 2 NA NA NA 2
"138" 0 10 3 NA NA NA 2
"139" 0 10 4 NA NA NA 2
"140" 0 10 5 NA NA NA 2
"141" 0 10 6 NA NA NA 2
"142" 0 10 7 NA NA NA 2
"143" 0 10 8 NA NA NA 2
"144" 0 10 9 NA NA NA 2
"145" 0 10 10 NA NA NA 2
"146" 0 10 11 NA NA NA 2
"147" 0 10 12 NA NA NA 2
"148" 0 10 13 NA NA NA 2
"149" 0 10 14 NA NA NA 2
"150" 0 10 15 NA NA NA 2
"151" 0 11 1 NA NA NA 2
"152" 0 11 2 NA NA NA 2
"153" 0 11 3 NA NA NA 2
"154" 0 11 4 NA NA NA 2
"155" 0 11 5 NA NA NA 2
"156" 0 11 6 NA NA NA 2
"157" 0 11 7 NA NA NA 2
"158" 0 11 8 NA NA NA 2
"159" 0 11 9 NA NA NA 2
"160" 0 11 10 NA NA NA 2
"161" 0 11 11 NA NA NA 2
"162" 0 11 12 NA NA NA 2
"163" 0 11 13 NA NA NA 2
"164" 0 11 14 NA NA NA 2
"165" 0 11 15 NA NA NA 2
"166" 0 12 1 NA NA NA 2
"167" 0 12 2 NA NA NA 2
"168" 0 12 3 NA NA NA 2
"169" 0 12 4 NA NA NA 2
"170" 0 12 5 NA NA NA 2
"171" 0 12 6 NA NA NA 2
"172" 0 12 7 NA NA NA 2
"173" 0 12 8 NA NA NA 2
"174" 0 12 9 NA NA NA 2
"175" 0 12 10 NA NA NA 2
"176" 0 12 11 NA NA NA 2
"177" 0 12 12 NA NA NA 2
"178" 0 12 13 NA NA NA 2
"179" 0 12 14 NA NA NA 2
"180" 0 12 15 NA NA NA 2
"181" 0 13 1 NA NA NA 2
"182" 0 13 2 NA NA NA 2
"183" 0 13 3 NA NA NA 2
"184" 0 13 4 NA NA NA 2
"185" 0 13 5 NA NA NA 2
"186" 0 13 6 NA NA NA 2
"187" 0 13 7 NA NA NA 2
"188" 0 13 8 NA NA NA 2
"189" 0 13 9 NA NA NA 2
"190" 0 13 10 NA NA NA 2
"191" 0 13 11 NA NA NA 2
"192" 0 13 12 NA NA NA 2
"193" 0 13 13 NA NA NA 2
"194" 0 13 14 NA NA NA 2
"195" 0 13 15 NA NA NA 2
"196" 0 14 1 NA NA NA 2
"197" 0 14 2 NA NA NA 2
"198" 0 14 3 NA NA NA 2
"199" 0 14 4 NA NA NA 2
"200" 0 14 5 NA NA NA 2
"201" 0 14 6 NA NA NA 2
"202" 0 14 7 NA NA NA 2
"203" 0 14 8 NA NA NA 2
"204" 0 14 9 NA NA NA 2
"205" 0 14 10 NA NA NA 2
"206" 0 14 11 NA NA NA 2
"207" 0 14 12 NA NA NA 2
"208" 0 14 13 NA NA NA 2
"209" 0 14 14 NA NA NA 2
"210" 0 14 15 NA NA NA 2
"211" 0 15 1 NA NA NA 2
"212" 0 15 2 NA NA NA 2
"213" 0 15 3 NA NA NA 2
"214" 0 15 4 NA NA NA 2
"215" 0 15 5 NA NA NA 2
"216" 0 15 6 NA NA NA 2
"217" 0 15 7 NA NA NA 2
"218" 0 15 8 NA NA NA 2
"219" 0 15 9 NA NA NA 2
"220" 0 15 10 NA NA NA 2
"221" 0 15 11 NA NA NA 2
"222" 0 15 12 NA NA NA 2
"223" 0 15 13 NA NA NA 2
"224" 0 15 14 NA NA NA 2
"225" 0 15 15 NA NA NA 2
"226" 0 16 1 NA NA NA 2
"227" 0 16 2 NA NA NA 2
"228" 0 16 3 NA NA NA 2
"229" 0 16 4 NA NA NA 2
"230" 0 16 5 NA NA NA 2
"231" 0 16 6 NA NA NA 2
"232" 0 16 7 NA NA NA 2
"233" 0 16 8 NA NA NA 2
"234" 0 16 9 NA NA NA 2
"235" 0 16 10 NA NA NA 2
"236" 0 16 11 NA NA NA 2
"237" 0 16 12 NA NA NA 2
"238" 0 16 13 NA NA NA 2
"239" 0 16 14 NA NA NA 2
"240" 0 16 15 NA NA NA 2
"241" 1 1 1 NA NA NA 2
"242" 1 1 2 NA NA NA 2
"243" 1 1 3 NA NA NA 2
"244" 1 1 4 NA NA NA 2
"245" 1 1 5 NA NA NA 2
"246" 1 1 6 NA NA NA 2
"247" 1 1 7 NA NA NA 2
"248" 1 1 8 NA NA NA 2
"249" 1 1 9 NA NA NA 2
"250" 1 1 10 NA NA NA 2
"251" 1 1 11 NA NA NA 2
"252" 1 1 12 NA NA NA 2
"253" 1 1 13 NA NA NA 2
"254" 1 1 14 NA NA NA 2
"255" 1 1 15 NA NA NA 2
"256" 1 2 1 0.203002066457976 0.544923423775631 -0.18475427487516 0
"257" 1 2 2 -0.442780073225458 1.13353788869588 -0.180417457610168 0
"258" 1 2 3 -1.62848141107975 0.817071433429704 -0.160856288827514 0
"259" 1 2 4 -1.96481258603424 2.10795736236165 -0.180407348479015 1
"260" 1 2 5 NA NA NA 2
"261" 1 2 6 NA NA NA 2
"262" 1 2 7 NA NA NA 2
"263" 1 2 8 NA NA NA 2
"264" 1 2 9 NA NA NA 2
"265" 1 2 10 NA NA NA 2
"266" 1 2 11 NA NA NA 2
"267" 1 2 12 NA NA NA 2
"268" 1 2 13 NA NA NA 2
"269" 1 2 14 NA NA NA 2
"270" 1 2 15 NA NA NA 2
"271" 1 3 1 1.81529911371727 -1.13161587688445 1.01980935689022 0
"272" 1 3 2 -0.718304755322983 -0.663401203761683 -1.98017640431941 0
"273" 1 3 3 0.269641534606458 -0.499077222597278 -0.0962569189283297 0
"274" 1 3 4 -0.666333653115557 -1.06833269496571 1.04488000215171 0
"275" 1 3 5 -0.902948245270196 -1.01758483981681 -2.99816591150977 0
"276" 1 3 6 1.31732274827519 -0.530526740001305 -0.179942328445939 1
"277" 1 3 7 NA NA NA 2
"278" 1 3 8 NA NA NA 2
"279" 1 3 9 NA NA NA 2
"280" 1 3 10 NA NA NA 2
"281" 1 3 11 NA NA NA 2
"282" 1 3 12 NA NA NA 2
"283" 1 3 13 NA NA NA 2
"284" 1 3 14 NA NA NA 2
"285" 1 3 15 NA NA NA 2
"286" 1 4 1 NA NA NA 2
"287" 1 4 2 NA NA NA 2
"288" 1 4 3 NA NA NA 2
"289" 1 4 4 NA NA NA 2
"290" 1 4 5 NA NA NA 2
"291" 1 4 6 NA NA NA 2
"292" 1 4 7 NA NA NA 2
"293" 1 4 8 NA NA NA 2
"294" 1 4 9 NA NA NA 2
"295" 1 4 10 NA NA NA 2
"296" 1 4 11 NA NA NA 2
