"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15"
"1" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"2" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"3" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
"4" 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"17" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"18" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"19" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"20" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"21" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"22" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"23" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"24" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"25" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"26" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"27" 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0
"28" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
"29" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"30" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"31" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"32" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"33" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"34" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
"35" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"36" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"37" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"38" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"39" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"40" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"41" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"42" 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"43" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"44" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"45" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"46" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"47" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"48" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"49" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
"50" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"51" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"52" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"53" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"54" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"55" 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
"56" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"57" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"59" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"61" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"62" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"63" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"66" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
"67" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"68" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"69" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"70" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"71" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"72" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"73" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"74" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"75" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"76" 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
"77" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0
"78" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"79" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"80" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"81" 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0
"82" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"83" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0
"85" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"86" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"87" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"88" 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"89" 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
"90" 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0
"91" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"92" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"93" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"94" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"95" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"96" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"97" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"98" 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0
"99" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"100" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"102" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"103" 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0
"104" 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
"105" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"106" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
